EmployeeID,Turnover,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,Wages,CompaniesWorked,OverTime,SalaryHike,PerfoRating,StockOption,TotalWorkingYears,TrainingLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
76,No,31,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,Laboratory Technician,4,Divorced,5915,3,No,22,4,Yes,10,3,2,7,7,1,7
77,No,37,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,Yes,7,2,4,7,5,0,7
78,No,32,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Manufacturing Director,4,Married,6162,1,Yes,22,4,Yes,9,3,3,9,8,7,8
79,No,38,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,Laboratory Technician,4,Single,2406,1,No,11,3,No,10,2,3,10,3,9,9
80,No,50,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,Research Director,3,Divorced,18740,5,Yes,12,3,Yes,29,2,2,27,3,13,8
81,No,59,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,7,No,11,3,No,28,3,2,21,16,7,9
83,No,36,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,Yes,17,2,3,17,14,12,8
84,No,55,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,Manager,3,Divorced,14756,2,Yes,14,3,Yes,21,2,3,5,0,0,2
85,No,36,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,1,No,13,3,No,6,3,3,6,5,0,3
86,No,45,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,2,No,17,3,Yes,25,2,3,1,0,0,0
88,No,35,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,Research Scientist,1,Married,2194,4,No,13,3,Yes,5,2,2,3,2,1,2
90,Yes,36,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,Research Scientist,3,Married,3388,0,Yes,17,3,Yes,2,0,2,1,0,0,0
91,No,59,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,7,No,11,3,No,20,2,2,4,3,1,3
94,No,29,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,2,Married,2703,0,No,23,4,Yes,6,3,3,5,4,0,4
95,No,31,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,Research Scientist,2,Single,2501,1,No,17,3,No,1,4,3,1,1,1,0
96,No,32,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,Research Scientist,2,Married,6220,1,No,17,3,Yes,10,3,3,10,4,0,9
97,No,36,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,Laboratory Technician,4,Married,3038,3,No,12,3,No,5,3,3,1,0,0,0
98,No,31,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,Manufacturing Director,4,Single,4424,1,No,23,4,No,11,2,3,11,7,1,8
100,No,35,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,0,No,14,3,No,16,2,3,15,13,2,8
101,No,45,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,4,Yes,14,3,No,17,3,4,0,0,0,0
102,No,37,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,4,No,13,3,No,16,3,4,5,2,0,2
103,No,46,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,Human Resources,2,Divorced,5021,8,Yes,22,4,Yes,16,2,3,4,2,0,2
104,No,30,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,Yes,10,1,2,10,8,3,0
105,No,35,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,Research Scientist,3,Single,2859,1,No,18,3,No,6,3,3,6,4,0,4
106,No,55,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,3,No,14,3,Yes,24,4,3,1,0,1,0
107,No,38,Non-Travel,Research & Development,6,3,Medical,2,Female,1,Research Scientist,4,Divorced,5329,7,Yes,12,3,Yes,17,3,3,13,11,1,9
110,No,34,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,Manufacturing Director,2,Married,4325,1,No,15,3,No,5,2,3,5,2,1,3
112,No,56,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,Manufacturing Director,4,Single,7260,4,No,11,3,No,37,3,2,6,4,0,2
113,No,23,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,1,Divorced,2322,3,No,13,3,Yes,3,3,3,0,0,0,0
116,No,51,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,Laboratory Technician,4,Married,2075,3,No,23,4,Yes,10,4,3,4,2,0,3
117,No,30,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,1,No,19,3,Yes,11,3,3,11,10,10,8
118,Yes,46,Travel_Rarely,Sales,9,2,Medical,3,Male,2,Sales Executive,4,Single,9619,1,No,16,3,No,9,3,3,9,8,4,7
119,No,40,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married,13503,1,No,22,4,Yes,22,3,2,22,3,11,11
120,No,51,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,Sales Executive,4,Single,5441,0,Yes,22,4,No,11,2,1,10,7,1,0
121,No,30,Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,Yes,11,4,2,11,8,2,7
124,No,46,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,Healthcare Representative,1,Married,10673,2,Yes,13,3,Yes,21,5,2,10,9,9,5
125,No,32,Travel_Rarely,Sales,6,4,Medical,2,Male,3,Sales Executive,3,Single,5010,1,No,16,3,No,12,0,3,11,8,5,7
126,No,54,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,9,No,12,3,Yes,16,5,1,4,3,0,3
128,No,24,Travel_Rarely,Sales,3,2,Other,1,Female,3,Sales Executive,3,Married,4999,0,No,21,4,Yes,4,2,2,3,2,0,2
129,No,28,Non-Travel,Sales,4,3,Medical,2,Male,3,Sales Executive,3,Married,4221,1,No,15,3,No,5,3,4,5,4,0,4
131,No,58,Travel_Rarely,Sales,10,4,Medical,4,Male,3,Sales Executive,3,Single,13872,0,No,13,3,No,38,1,2,37,10,1,8
132,No,44,Non-Travel,Research & Development,23,3,Medical,2,Male,3,Laboratory Technician,2,Married,2042,4,No,12,3,Yes,17,3,4,3,2,1,2
133,Yes,37,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,Human Resources,1,Divorced,2073,4,Yes,22,4,No,7,3,3,3,2,0,2
134,No,32,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,Research Scientist,1,Single,2956,1,No,13,3,No,1,2,3,1,0,0,0
137,Yes,20,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2926,1,Yes,18,3,No,1,5,3,1,0,1,0
138,No,34,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,Research Scientist,3,Single,4809,1,No,14,3,No,16,3,3,16,13,2,10
139,No,37,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,Yes,17,2,4,1,0,0,0
140,No,59,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,Manager,4,Married,18844,9,No,21,4,Yes,30,3,3,3,2,2,2
141,No,50,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,Research Director,2,Married,18172,3,Yes,19,3,No,28,1,2,8,3,0,7
142,Yes,25,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,1,Yes,11,3,No,6,1,3,6,4,0,3
143,No,25,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,Research Scientist,4,Married,2889,1,No,11,3,Yes,2,2,3,2,2,2,1
144,No,22,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,Laboratory Technician,4,Single,2871,1,No,15,3,No,1,5,3,0,0,0,0
145,No,51,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,Healthcare Representative,1,Single,7484,3,No,20,4,No,23,1,2,13,12,12,8
147,Yes,34,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,6074,1,Yes,24,4,No,9,3,3,9,7,0,6
148,No,54,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,2,Yes,12,3,No,23,3,3,5,3,4,4
150,No,24,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,Laboratory Technician,3,Married,2774,0,No,12,3,Yes,6,2,3,5,3,1,2
151,No,34,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,6,No,15,3,Yes,12,3,3,1,0,0,0
152,No,37,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,2,No,12,3,No,12,3,3,5,3,1,3
153,No,34,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,Manager,1,Single,11631,2,No,12,3,No,14,6,3,11,10,5,8
154,No,36,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,0,No,14,3,Yes,10,6,3,9,7,2,8
155,No,36,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,Laboratory Technician,4,Divorced,2835,5,No,22,4,Yes,7,2,3,1,0,0,0
158,No,43,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,Manager,4,Married,16959,1,Yes,12,3,Yes,25,3,4,25,12,4,12
159,No,30,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,1,No,25,4,Yes,10,2,2,10,7,0,9
160,No,33,Non-Travel,Sales,22,2,Marketing,3,Male,3,Sales Executive,2,Married,6146,0,No,13,3,Yes,8,2,4,7,7,0,7
161,Yes,56,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,Research Scientist,2,Married,4963,9,Yes,18,3,Yes,7,2,3,5,4,4,3
162,No,51,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Research Director,3,Single,19537,7,No,13,3,No,23,5,3,20,18,15,15
163,Yes,31,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,Sales Executive,3,Married,6172,4,Yes,18,3,No,12,3,2,7,7,7,7
164,No,26,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,Research Scientist,2,Married,2368,1,No,19,3,No,5,3,2,5,4,4,3
165,Yes,58,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,1,No,12,3,Yes,40,3,2,40,10,15,6
167,Yes,19,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,Sales Representative,3,Single,1675,1,Yes,19,3,No,0,2,2,0,0,0,0
169,No,22,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,Laboratory Technician,4,Married,2523,0,No,14,3,Yes,3,2,3,2,1,2,1
170,No,49,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,Manufacturing Director,1,Married,6567,1,No,14,3,No,16,2,2,15,11,5,11
171,No,43,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,Research Scientist,3,Single,4739,4,No,12,3,No,18,2,3,3,2,1,2
174,No,50,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,4,No,11,3,No,16,3,3,2,2,2,1
175,Yes,31,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,Sales Executive,3,Married,4559,3,Yes,11,3,Yes,4,2,3,2,2,2,2
176,No,41,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,Yes,12,2,3,9,7,0,7
177,No,26,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,Human Resources,3,Married,2942,1,No,23,4,Yes,8,3,3,8,7,5,7
178,No,36,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,Manufacturing Director,2,Divorced,4941,6,No,20,4,Yes,7,0,3,3,2,0,1
179,Yes,51,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single,10650,2,No,15,3,No,18,2,3,4,2,0,3
182,No,39,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,4,No,14,3,Yes,17,1,4,15,11,5,9
183,No,25,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,2,No,18,3,No,6,3,3,2,2,2,2
184,No,30,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,Human Resources,4,Married,6347,0,Yes,19,3,No,12,2,1,11,9,4,7
190,Yes,32,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,1,Single,4200,7,No,22,4,No,10,2,4,5,4,0,4
192,No,45,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,Research Scientist,4,Single,3452,5,No,13,3,No,9,2,2,6,5,0,3
193,No,38,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,Research Scientist,3,Single,4317,3,Yes,20,4,No,19,2,3,3,2,2,2
194,No,30,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,Research Scientist,3,Single,2632,1,No,14,3,No,5,4,2,5,4,0,4
195,No,32,Travel_Frequently,Sales,9,2,Medical,4,Male,1,Sales Executive,4,Divorced,4668,0,No,17,3,Yes,9,2,4,8,7,0,7
197,No,30,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,Research Scientist,1,Divorced,3204,5,No,14,3,Yes,8,3,3,3,2,2,2
198,No,30,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,Laboratory Technician,4,Single,2720,0,No,13,3,No,6,3,3,5,3,1,2
199,No,41,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,Manager,1,Divorced,17181,4,No,13,3,Yes,21,2,2,7,6,7,7
200,No,41,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,Laboratory Technician,1,Married,2238,2,No,21,4,Yes,7,2,3,5,0,1,4
201,No,19,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,Laboratory Technician,2,Single,1483,1,No,14,3,No,1,3,3,1,0,0,0
202,No,40,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,Research Scientist,2,Divorced,5605,1,No,11,3,Yes,20,2,3,20,7,2,13
204,No,35,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,Sales Executive,2,Married,7295,1,No,13,3,Yes,10,3,3,10,8,0,6
205,No,53,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,Sales Representative,3,Married,2306,2,Yes,20,4,Yes,13,3,1,7,7,4,5
206,No,45,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,Laboratory Technician,2,Divorced,2348,8,No,18,3,Yes,20,2,1,17,9,0,15
207,No,32,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,Sales Executive,4,Single,8998,1,No,14,3,No,9,2,3,9,8,3,7
208,No,29,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,Manufacturing Director,3,Married,4319,1,No,13,3,Yes,10,1,3,10,7,0,9
211,No,51,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,Manufacturing Director,3,Married,6132,2,No,17,3,No,10,2,3,1,0,0,0
214,No,58,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,Research Scientist,2,Married,3346,4,Yes,20,4,Yes,9,3,2,1,0,0,0
215,No,40,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,Sales Executive,4,Married,10855,7,No,11,3,Yes,15,2,2,12,11,2,11
216,No,34,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,Sales Representative,3,Married,2231,6,No,18,3,Yes,6,3,3,4,3,1,2
217,No,22,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,Research Scientist,4,Married,2323,1,No,24,4,Yes,2,6,3,2,2,2,2
218,No,27,Non-Travel,Research & Development,9,3,Medical,4,Male,3,Research Scientist,2,Divorced,2024,6,No,18,3,Yes,6,1,1,2,2,2,2
221,No,28,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,Research Scientist,4,Married,2713,1,No,11,3,Yes,5,2,1,5,2,0,2
223,No,57,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,Yes,12,2,1,5,3,1,4
224,No,27,Non-Travel,Research & Development,3,3,Medical,3,Male,2,Research Scientist,3,Divorced,2566,1,Yes,15,3,Yes,1,2,2,1,1,0,1
226,No,50,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,Manager,2,Single,19926,3,No,15,3,No,21,5,3,5,4,4,4
227,No,41,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2451,4,No,12,3,Yes,13,2,3,9,8,1,8
228,No,30,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,Sales Executive,4,Married,9419,2,No,12,3,Yes,12,2,3,10,9,7,4
230,No,38,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,Sales Executive,4,Single,8686,4,No,22,4,No,12,2,4,8,3,0,7
231,No,32,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,Research Scientist,3,Single,3038,3,No,20,4,No,8,2,3,5,4,1,4
233,No,27,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,Research Scientist,2,Married,3058,0,Yes,16,3,Yes,6,3,2,5,2,1,1
235,Yes,19,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,0,No,21,4,No,1,5,4,0,0,0,0
